state,year,megatonnes CO2
NH,2012,6.728817363671333
NH,2013,6.755450808321966
NH,2014,6.827072832499335
NH,2015,6.768465670788066
NH,2016,6.743268749875168
NH,2017,6.781143493404499
NH,2018,6.859468997008099
NH,2019,6.849431838205733
NH,2020,5.958713415577633
NH,2021,6.595401613300866
NH,2022,6.701135792450733
NJ,1990,56.92209184396569
NJ,1991,57.71368293622396
NJ,1992,58.00609716169583
NJ,1993,54.90450434325853
NJ,1994,60.0196396221708
NJ,1995,60.97114083594123
NJ,1996,59.09358275371797
NJ,1997,59.79207577014467
NJ,1998,60.73799728263081
NJ,1999,60.55938401133537
NJ,2000,65.1423657386348
NJ,2001,63.03126086134864
NJ,2002,63.76025447859026
NJ,2003,62.84518087600757
NJ,2004,64.68227066283472
NJ,2005,69.20901061985974
NJ,2006,68.56157008868016
NJ,2007,71.93683926748623
NJ,2008,72.4486202401907
NJ,2009,61.10077432086357
NJ,2010,53.52929169121452
NJ,2011,53.73013009351165
NJ,2012,51.169094062493
NJ,2013,51.13905459891433
NJ,2014,50.02241889441793
NJ,2015,49.93410594331133
NJ,2016,52.09262719278347
NJ,2017,49.72394262845057
NJ,2018,51.67717105193317
NJ,2019,48.2783317641592
NJ,2020,38.74864608047254
NJ,2021,42.3221055679499
NJ,2022,43.58732581030191
NM,1990,14.90282873289027
NM,1991,14.6674543307666
NM,1992,14.13872674902343
NM,1993,14.7750402037106
NM,1994,14.07345723433173
NM,1995,12.69630381057757
NM,1996,12.74773011890473
NM,1997,15.45135820873517
NM,1998,15.4438128433798
NM,1999,15.5030749321558
NM,2000,15.33245139200243
NM,2001,15.65180809781307
NM,2002,15.42496436914363
NM,2003,15.22628677130807
NM,2004,15.73487078651583
NM,2005,15.3216773605038
NM,2006,15.98486777336937
NM,2007,15.38478248641363
NM,2008,14.0076108617104
NM,2009,13.69209663339247
NM,2010,13.33267113655143
NM,2011,13.69460778919273
NM,2012,13.71272404972067
NM,2013,13.70046208346566
NM,2014,14.202319369007
NM,2015,14.26954870083417
NM,2016,13.9129187099969
NM,2017,14.87439006207037
NM,2018,15.46533365468373
NM,2019,15.66887385379617
NM,2020,14.6486848886554
NM,2021,16.1202261208032
NM,2022,15.5588543565554
NY,1990,63.90315328188367
NY,1991,62.29890111630974
NY,1992,60.83062273288439
NY,1993,61.71288056955377
NY,1994,60.64754951206307
NY,1995,62.45483117585983
NY,1996,65.6860897060731
NY,1997,65.64890238933803
NY,1998,66.16091988878203
NY,1999,66.52979627008514
NY,2000,67.35013209733893
NY,2001,66.9551921571203
NY,2002,68.55030417533797
NY,2003,74.11818028823632
NY,2004,75.34028191813053
NY,2005,73.36321541249067
NY,2006,74.49090316320472
NY,2007,73.75072788878153
NY,2008,72.92395096308778
NY,2009,70.8954437024548
NY,2010,81.18323235585933
NY,2011,75.88449607142212
NY,2012,74.13167103999727
NY,2013,74.68506850568426
NY,2014,78.80396281711361
NY,2015,77.0980407893443
NY,2016,80.1455149435171
NY,2017,80.86569624557197
NY,2018,81.43672922424966
NY,2019,79.40224080996349
NY,2020,59.65957874076456
NY,2021,69.11056703669799
NY,2022,74.92705579225422
NC,1990,38.24952010918683
NC,1991,37.79078540823006
NC,1992,38.5185089781756
NC,1993,39.89548756711797
NC,1994,41.1305402908576
NC,1995,42.76804063177727
NC,1996,45.27067217816477
NC,1997,46.07590344847013
NC,1998,47.12365404840097
NC,1999,48.094969757637
NC,2000,50.17063151186314
NC,2001,49.13610822340549
NC,2002,49.706893927328
NC,2003,51.06814971144552
NC,2004,52.25349983554653
NC,2005,53.35065478050733
NC,2006,52.87201293602066
NC,2007,54.24739665094457
NC,2008,52.19747919991917
NC,2009,47.7532522718383
NC,2010,52.19563132369704
NC,2011,50.62903478759573
NC,2012,48.96201249071623
NC,2013,50.18362536351633
NC,2014,51.07773211853877
NC,2015,52.0581425066868
NC,2016,53.29590644057827
NC,2017,53.8880125800335
NC,2018,54.68429262327276
NC,2019,55.8498029178881
NC,2020,49.64728707851476
NC,2021,54.43809621162477
NC,2022,54.42179754349799
ND,1990,4.6106873710612
ND,1991,4.684858475855433
ND,1992,4.905952398918999
ND,1993,5.126928316741367
ND,1994,5.075361881759767
ND,1995,5.083545921612034
ND,1996,5.216119720445699
ND,1997,5.296228498305066
ND,1998,4.733500066099567
ND,1999,5.648293637196467
ND,2000,5.568221207964799
ND,2001,6.015099873882366
ND,2002,5.985576212599133
ND,2003,6.1216535443998
ND,2004,6.3249390967829
ND,2005,6.242845789750533
ND,2006,6.201286551877632
ND,2007,7.054666032009567
ND,2008,6.271275339451834
ND,2009,5.875209589810367
ND,2010,6.714992288963566
ND,2011,7.762542800189099
ND,2012,8.8102387284219
ND,2013,9.116651415710667
ND,2014,9.750800241227834
ND,2015,9.046004078513965
ND,2016,8.0629105006802
ND,2017,8.5985413739698
ND,2018,9.113645400955699
ND,2019,9.4867657023953
ND,2020,8.329886488283432
ND,2021,8.723915158431
ND,2022,8.708845210332665
OH,1990,56.43590471841887
OH,1991,55.82777880454574
OH,1992,55.30410562243746
OH,1993,57.39337471804383
OH,1994,57.97317048954785
OH,1995,59.11212483530824
OH,1996,62.20884102393511
OH,1997,63.99846327112957
OH,1998,64.81268002370773
OH,1999,66.62795925749113
OH,2000,69.04708802234393
OH,2001,68.50692605601093
OH,2002,69.05040624658733
OH,2003,70.31689363750625
OH,2004,71.59295036403583
OH,2005,70.92229078744334
OH,2006,71.7292092370645
OH,2007,71.98160139202487
OH,2008,67.59606666741574
OH,2009,62.98803878332424
OH,2010,61.11861238856853
OH,2011,60.04916256458569
OH,2012,57.96097816452424
OH,2013,58.48051389305765
OH,2014,59.86509927070493
OH,2015,59.9949733281173
OH,2016,59.4901684258464
OH,2017,59.92104749852174
OH,2018,60.49151179751276
OH,2019,60.01465956410833
OH,2020,54.44405770763777
OH,2021,58.31023854238549
OH,2022,58.06745249100766
OK,1990,23.7492323793197
OK,1991,24.35394387511727
OK,1992,26.29228603183563
OK,1993,25.44128939525287
OK,1994,26.26861554577627
OK,1995,25.06502208050793
OK,1996,26.612493665857
OK,1997,26.3165680752733
OK,1998,26.88082268594837
OK,1999,28.14723331083144
OK,2000,30.3289961903192
OK,2001,33.0984833418976
OK,2002,30.90666986783383
OK,2003,31.6791388255804
OK,2004,29.03985291447827
OK,2005,30.6455672421569
OK,2006,31.58613175145083
OK,2007,32.1232400379308
OK,2008,31.765370682089
OK,2009,30.38435645329077
OK,2010,31.19722750772906
OK,2011,30.3015763165489
OK,2012,30.3411930198553
OK,2013,29.8090942380913
OK,2014,32.19867473411674
OK,2015,31.35435840471256
OK,2016,31.1848117982445
OK,2017,31.86016575546273
OK,2018,32.45773428430133
OK,2019,31.5785098008534
OK,2020,28.44724102396806
OK,2021,30.4871529636289
OK,2022,30.5223360926495
OR,1990,19.91886932484827
OR,1991,21.49553190378917
OR,1992,21.65979261914453
OR,1993,20.6987066369468
OR,1994,21.44714184962213
OR,1995,21.0928103096524
OR,1996,21.9044336422494
OR,1997,22.031469119253
OR,1998,23.0270134624299
OR,1999,23.25100545731554
OR,2000,22.7090600290708
OR,2001,21.6076869089004
OR,2002,22.01648138141357
OR,2003,22.1439346953341
OR,2004,22.83090497806213
OR,2005,23.27062498683927
OR,2006,23.85294478542396
OR,2007,24.2199790433271
OR,2008,22.34393085935633
OR,2009,22.39024965128197
OR,2010,21.965682105983
OR,2011,20.82365095444773
OR,2012,20.5194547047127
OR,2013,20.5234836667971
OR,2014,20.65235438745343
OR,2015,20.1551363096688
OR,2016,20.15561820203837
OR,2017,20.7281574624058
OR,2018,21.37692500405037
OR,2019,21.03774817695833
OR,2020,18.79392140947603
OR,2021,19.97611516735267
OR,2022,19.8195819000586
PA,1990,59.253604057065
PA,1991,59.15947846766833
PA,1992,60.44375080892535
PA,1993,61.83229475201826
PA,1994,62.14142654511587
PA,1995,62.92319453894649
PA,1996,62.6121822509271
PA,1997,65.38196525448353
PA,1998,67.47247178928006
PA,1999,68.059059312992
PA,2000,70.7342020927762
PA,2001,70.26772118059098
PA,2002,70.58662297826626
PA,2003,70.1201282724294
PA,2004,71.36493411200195
PA,2005,72.47034514035214
PA,2006,72.09447210454205
PA,2007,71.32304480701657
PA,2008,66.03040961054377
PA,2009,64.9077421531275
PA,2010,64.2429985199618
PA,2011,63.82789884210775
PA,2012,62.85128849985406
PA,2013,62.37319125055993
PA,2014,62.27669328548433
PA,2015,60.7482853217977
PA,2016,59.58377972950957
PA,2017,60.18427363430826
PA,2018,60.1944810215639
PA,2019,61.09471845435493
PA,2020,51.98312638768113
PA,2021,56.28953850225787
PA,2022,56.42579218418889
RI,1990,4.118639224537933
RI,1991,4.138374397625233
RI,1992,4.058894355511966
RI,1993,4.066347218604366
RI,1994,3.980421911449866
RI,1995,4.107193970176
RI,1996,4.1568835199848
RI,1997,4.618446046263133
RI,1998,4.4689883338012
RI,1999,4.646077790879067
RI,2000,4.660899322250966
RI,2001,4.678590228486167
RI,2002,4.632311419800899
RI,2003,4.595702750431466
RI,2004,4.392431614900633
RI,2005,4.3399423168871
RI,2006,4.420368113331866
RI,2007,4.317443194481999
RI,2008,4.058360057822401
RI,2009,4.1718021358937
RI,2010,4.1776813542035
RI,2011,3.976075727867833
RI,2012,3.7791893442358
RI,2013,3.778853285081966
RI,2014,4.019010048967099
RI,2015,3.9850501822406
RI,2016,3.7267007551532
RI,2017,3.795318431463533
RI,2018,3.946025664372367
RI,2019,3.9007716512083
RI,2020,3.316428445087266
RI,2021,3.6184662572322
RI,2022,3.7756419839083
SC,1990,22.00326004769163
SC,1991,22.7659078857419
SC,1992,21.97491020143723
SC,1993,22.26094352295184
SC,1994,22.66669675006147
SC,1995,22.68556831124504
SC,1996,23.23720208936537
SC,1997,24.27002677767836
SC,1998,25.6708264273098
SC,1999,26.4299487302191
SC,2000,27.22086925147113
SC,2001,27.34492303093282
SC,2002,27.93192777980036
SC,2003,28.47472675290319
SC,2004,32.23577977756437
SC,2005,30.48606611919256
SC,2006,31.97131035320603
SC,2007,31.8316155206148
SC,2008,30.00299823708771
SC,2009,30.52586190529956
SC,2010,31.4515701507568
SC,2011,30.77561206774119
SC,2012,29.62291782382717
SC,2013,30.57382587674983
SC,2014,30.03889888368893
SC,2015,31.56402494588676
SC,2016,32.40196563115894
SC,2017,33.01291676756663
SC,2018,32.959427371552
SC,2019,32.43304887700204
SC,2020,29.1906888872148
SC,2021,32.28380351811266
SC,2022,31.3681216380741
SD,1990,4.664490278033666
SD,1991,4.493512685373434
SD,1992,5.087527351585067
SD,1993,5.0720773469256
