date,province,year,megatonnes CO2,month
2011-08-01,PE,2011,0.7644341298553425,8
2011-09-01,PE,2011,0.7717949321084933,9
2011-10-01,PE,2011,0.7789182891276714,10
2011-11-01,PE,2011,0.786279091380822,11
2011-12-01,PE,2011,0.7934024484000001,12
2012-01-01,PE,2012,0.7923339759229509,1
2012-02-01,PE,2012,0.7912655034459017,2
2012-03-01,PE,2012,0.7902659646770492,3
2012-04-01,PE,2012,0.7891974922,4
2012-05-01,PE,2012,0.7881634865770493,5
2012-06-01,PE,2012,0.7870950141,6
2012-07-01,PE,2012,0.7860610084770492,7
2012-08-01,PE,2012,0.7849925360000001,8
2012-09-01,PE,2012,0.7839240635229509,9
2012-10-01,PE,2012,0.7828900579,10
2012-11-01,PE,2012,0.7818215854229509,11
2012-12-01,PE,2012,0.7807875798,12
2013-01-01,PE,2013,0.7735609967860274,1
2013-02-01,PE,2013,0.7663344137720548,2
2013-03-01,PE,2013,0.7598071775013698,3
2013-04-01,PE,2013,0.7525805944873972,4
2013-05-01,PE,2013,0.7455871270545206,5
2013-06-01,PE,2013,0.738360544040548,6
2013-07-01,PE,2013,0.7313670766076712,7
2013-08-01,PE,2013,0.7241404935936986,8
2013-09-01,PE,2013,0.716913910579726,9
2013-10-01,PE,2013,0.7099204431468493,10
2013-11-01,PE,2013,0.7026938601328767,11
2013-12-01,PE,2013,0.6957003927,12
2011-01-01,QC,2011,31.095112108602738,1
2011-02-01,QC,2011,31.14146119720548,2
2011-03-01,QC,2011,31.183324890136987,3
2011-04-01,QC,2011,31.229673978739726,4
2011-05-01,QC,2011,31.274527935452053,5
2011-06-01,QC,2011,31.320877024054795,6
2011-07-01,QC,2011,31.365730980767122,7
2011-08-01,QC,2011,31.41208006936986,8
2011-09-01,QC,2011,31.458429157972603,9
2011-10-01,QC,2011,31.50328311468493,10
2011-11-01,QC,2011,31.549632203287672,11
2011-12-01,QC,2011,31.59448616,12
2012-01-01,QC,2012,31.557804048032786,1
2012-02-01,QC,2012,31.521121936065573,2
2012-03-01,QC,2012,31.486806411967212,3
